date,week,stems_ordered,customer_id,crop_id
7/1/2022,26,10400,161,2
7/1/2022,26,18800,270,1
7/1/2022,26,3000,39,1
7/1/2022,26,17740,39,2
7/1/2022,26,14000,224,1
7/1/2022,26,2800,259,1
7/1/2022,26,29300,220,2
7/1/2022,26,50512,270,2
7/1/2022,26,2850,69,1
7/2/2022,26,2820,39,1
7/2/2022,26,43440,270,2
7/2/2022,26,2150,69,1
7/2/2022,26,36260,39,2
7/2/2022,26,10000,161,2
7/2/2022,26,13800,270,1
7/2/2022,26,28549,220,2
7/3/2022,26,10400,161,2
7/3/2022,26,38032,39,2
7/3/2022,26,3336,39,1
7/3/2022,26,8700,220,2
7/4/2022,27,2380,39,1
7/4/2022,27,3000,103,1
7/4/2022,27,31562,39,2
7/4/2022,27,14480,270,1
7/4/2022,27,3900,69,1
7/4/2022,27,18824,270,2
7/4/2022,27,12300,270,2
7/4/2022,27,21149,220,2
7/5/2022,27,11000,220,2
7/5/2022,27,1120,39,1
7/5/2022,27,1000,99,1
7/5/2022,27,10400,267,2
7/5/2022,27,2500,103,1
7/5/2022,27,29687,39,2
7/5/2022,27,1000,69,1
7/5/2022,27,10400,161,2
7/5/2022,27,14440,270,1
7/5/2022,27,22028,270,2
7/6/2022,27,14400,267,2
7/6/2022,27,12530,270,1
7/6/2022,27,1000,69,1
7/6/2022,27,25700,220,2
7/6/2022,27,30100,39,2
7/6/2022,27,65134,270,2
7/6/2022,27,10400,161,2
7/6/2022,27,1920,39,1
7/7/2022,27,14400,267,2
7/7/2022,27,64874,270,2
7/7/2022,27,10400,161,2
7/7/2022,27,23549,220,2
7/7/2022,27,33076,39,2
7/7/2022,27,4008,39,1
7/7/2022,27,17470,270,1
7/8/2022,27,2880,270,1
7/8/2022,27,320,75,1
7/8/2022,27,12150,267,2
7/8/2022,27,51800,270,2
7/8/2022,27,3200,69,1
7/8/2022,27,3160,39,1
7/8/2022,27,34449,220,2
7/8/2022,27,18780,39,2
7/9/2022,27,8680,270,1
7/9/2022,27,17050,220,2
7/9/2022,27,31780,39,2
7/9/2022,27,3200,259,1
7/9/2022,27,1920,39,1
7/9/2022,27,10400,161,2
7/9/2022,27,10100,267,2
7/9/2022,27,48848,270,2
7/9/2022,27,1400,69,1
7/10/2022,27,8700,220,2
7/10/2022,27,3000,92,1
7/10/2022,27,5000,270,1
7/10/2022,27,8680,270,2
7/10/2022,27,3836,39,1
7/10/2022,27,34152,39,2
7/11/2022,28,2800,69,1
7/11/2022,28,3200,267,2
7/11/2022,28,50244,270,2
7/11/2022,28,9700,270,1
7/11/2022,28,19349,220,2
7/11/2022,28,600,39,1
7/12/2022,28,90,75,1
7/12/2022,28,47044,270,2
7/12/2022,28,12618,161,2
7/12/2022,28,2500,103,1
7/12/2022,28,1100,69,1
7/12/2022,28,4000,267,2
7/12/2022,28,43187,39,2
7/12/2022,28,800,259,1
7/12/2022,28,2560,39,1
7/12/2022,28,10300,270,1
7/13/2022,28,7100,220,2
7/13/2022,28,1300,69,1
7/13/2022,28,9200,267,2
7/13/2022,28,12500,270,1
7/13/2022,28,2232,39,1
7/13/2022,28,42912,270,2
7/13/2022,28,30884,39,2
7/14/2022,28,16870,270,2
7/14/2022,28,1000,99,1
7/14/2022,28,10480,39,2
7/14/2022,28,14018,161,2
7/14/2022,28,9200,267,2
7/14/2022,28,28549,220,2
