date,blockno,variety,stems
7/1/2022,MU05,Magical Triumph,29000
7/2/2022,MU05,Magical Triumph,10000
7/2/2022,AF04,Magical Triumph,6000
7/4/2022,MU05,Magical Triumph,23100
7/5/2022,MU05,Magical Triumph,17900
7/7/2022,MU05,Magical Triumph,27000
7/8/2022,MU05,Magical Triumph,19900
7/8/2022,MU06,Magical Triumph,7200
7/9/2022,MU05,Magical Triumph,9900
7/9/2022,MU06,Magical Triumph,7600
7/12/2022,MU06,Magical Triumph,22900
7/12/2022,MU05,Magical Triumph,8600
7/13/2022,MU06,Magical Triumph,5500
7/13/2022,MU05,Magical Triumph,2900
7/14/2022,MU05,Magical Triumph,17000
7/15/2022,MU06,Magical Triumph,8000
7/18/2022,MU06,Magical Triumph,2200
7/19/2022,MU06,Magical Triumph,11400
7/20/2022,MU06,Magical Triumph,10000
7/21/2022,MU06,Magical Triumph,15100
7/22/2022,L09,Magical Triumph,5500
7/23/2022,L09,Magical Triumph,1100
7/25/2022,L09,Magical Triumph,20000
7/25/2022,MU06,Magical Triumph,20000
7/26/2022,L09,Magical Triumph,30000
7/27/2022,L09,Magical Triumph,18300
7/27/2022,MU06,Magical Triumph,4800
7/28/2022,L09,Magical Triumph,30000
7/29/2022,MU06,Magical Triumph,30000
7/30/2022,L09,Magical Triumph,24500
8/1/2022,L09,Magical Triumph,20800
8/1/2022,AB06,Magical Triumph,19200
8/2/2022,AB06,Magical Triumph,40000
8/3/2022,AB06,Magical Triumph,23000
8/4/2022,AB06,Magical Triumph,19000
8/5/2022,AB06,Magical Triumph,28000
8/8/2022,AB06,Magical Triumph,12000
8/8/2022,AB07,Magical Triumph,16000
8/10/2022,AB07,Magical Triumph,13100
8/10/2022,AB06,Magical Triumph,11100
8/11/2022,AB07,Magical Triumph,1200
8/12/2022,AB07,Magical Triumph,43600
8/13/2022,AB07,Magical Triumph,30000
8/15/2022,AB07,Magical Triumph,22000
8/16/2022,AB07,Magical Triumph,31000
8/17/2022,K10,Magical Triumph,11000
8/17/2022,AB07,Magical Triumph,13000
8/18/2022,K10,Magical Triumph,30000
8/19/2022,K11,Magical Triumph,15400
8/19/2022,K10,Magical Triumph,35200
8/22/2022,K11,Magical Triumph,40000
8/23/2022,K11,Magical Triumph,20000
8/23/2022,K12,Magical Triumph,10000
8/24/2022,K12,Magical Triumph,25000
8/25/2022,K12,Magical Triumph,36700
8/25/2022,K13,Magical Triumph,54300
8/25/2022,K14,Magical Triumph,6000
8/26/2022,K14,Magical Triumph,35000
8/27/2022,L04,Magical Triumph,20000
8/29/2022,L04,Magical Triumph,53400
8/30/2022,L04,Magical Triumph,47800
8/31/2022,L04,Magical Triumph,53700
9/1/2022,L04,Magical Triumph,65400
9/2/2022,L04,Magical Triumph,28900
9/3/2022,MU01,Magical Triumph,36000
9/5/2022,MU01,Magical Triumph,48000
9/6/2022,MU01,Magical Triumph,66000
9/7/2022,MU01,Magical Triumph,61300
9/8/2022,MU01,Magical Triumph,46700
9/8/2022,MU02,Magical Triumph,20000
9/9/2022,MU02,Magical Triumph,47400
9/10/2022,MU02,Magical Triumph,66000
9/12/2022,MU02,Magical Triumph,66600
9/13/2022,MU02,Magical Triumph,39000
9/13/2022,MU03,Magical Triumph,9000
9/14/2022,L01,Magical Triumph,40000
9/15/2022,L01,Magical Triumph,46200
9/16/2022,L01,Magical Triumph,25200
9/16/2022,L02,Magical Triumph,64800
9/17/2022,L02,Magical Triumph,56000
9/17/2022,K06,Magical Triumph,20000
9/19/2022,L02,Magical Triumph,44600
9/19/2022,L05,Magical Triumph,16900
9/19/2022,AB01,Magical Triumph,40000
9/20/2022,K05,Magical Triumph,116000
9/21/2022,K05,Magical Triumph,13100
9/21/2022,K06,Magical Triumph,78100
9/21/2022,AB01,Magical Triumph,10000
9/21/2022,K03,Magical Triumph,20000
9/22/2022,AB01,Magical Triumph,54900
9/22/2022,AB02,Magical Triumph,39000
9/23/2022,K03,Magical Triumph,14900
9/23/2022,AB02,Magical Triumph,90500
9/24/2022,K03,Magical Triumph,90600
9/26/2022,AB02,Magical Triumph,1900
9/26/2022,K03,Magical Triumph,6500
9/26/2022,L03,Magical Triumph,60000
9/26/2022,L05,Magical Triumph,26700
9/27/2022,L05,Magical Triumph,66000
9/27/2022,L06,Magical Triumph,46800
9/28/2022,L06,Magical Triumph,72400
9/29/2022,L07,Magical Triumph,84600
9/30/2022,L06,Magical Triumph,600
9/30/2022,L07,Magical Triumph,50000
10/1/2022,L07,Magical Triumph,25300
10/3/2022,MU03,Magical Triumph,71700
10/4/2022,MU03,Magical Triumph,68700
10/5/2022,MU03,Magical Triumph,46900
10/5/2022,AF01,Magical Triumph,10000
10/6/2022,AF01,Magical Triumph,60500
10/7/2022,AF01,Magical Triumph,5700
10/7/2022,AF02,Magical Triumph,34300
10/7/2022,S01,Magical Triumph,24200
10/8/2022,S01,Magical Triumph,94400
10/8/2022,S03,Magical Triumph,900
10/11/2022,S04,Magical Triumph,92500
10/12/2022,AF03,Magical Triumph,5000
10/12/2022,AF02,Magical Triumph,2200
10/12/2022,AF01,Magical Triumph,1300
10/12/2022,S04,Magical Triumph,49400
10/12/2022,S03,Magical Triumph,10800
10/13/2022,AF01,Magical Triumph,2800
10/13/2022,S03,Magical Triumph,74300
10/14/2022,S01,Magical Triumph,11800
10/14/2022,S03,Magical Triumph,47700
10/15/2022,S01,Magical Triumph,29300
10/17/2022,S02,Magical Triumph,13900
10/17/2022,L03,Magical Triumph,50000
10/18/2022,L03,Magical Triumph,48300
10/19/2022,AB05,Magical Triumph,57200
10/19/2022,S04,Magical Triumph,6700
10/19/2022,S03,Magical Triumph,2000
10/21/2022,S03,Magical Triumph,2500
10/21/2022,AB05,Magical Triumph,61000
10/22/2022,AB05,Magical Triumph,53000
10/24/2022,L03,Magical Triumph,18100
10/24/2022,AB05,Magical Triumph,11900
10/24/2022,S02,Magical Triumph,48900
10/25/2022,S02,Magical Triumph,50000
10/26/2022,AD05,Magical Triumph,47000
10/26/2022,AB05,Magical Triumph,7500
10/26/2022,S02,Magical Triumph,4400
10/27/2022,AD05,Magical Triumph,65300
10/28/2022,MU04,Magical Triumph,45000
10/29/2022,MU04,Magical Triumph,40000
10/31/2022,MU04,Magical Triumph,30000
10/31/2022,AF02,Magical Triumph,30000
11/1/2022,AF03,Magical Triumph,10000
11/1/2022,AF02,Magical Triumph,30000
11/1/2022,AD05,Magical Triumph,9100
11/2/2022,MU04,Magical Triumph,10000
11/2/2022,AF03,Magical Triumph,50000
11/3/2022,MU04,Magical Triumph,50000
11/4/2022,MU04,Magical Triumph,8000
11/4/2022,AF04,Magical Triumph,20000
11/4/2022,AF03,Magical Triumph,15400
11/5/2022,AF04,Magical Triumph,30000
11/7/2022,AB04,Magical Triumph,1500
11/7/2022,AF04,Magical Triumph,60000
11/8/2022,AF04,Magical Triumph,12500
11/8/2022,AD04,Magical Triumph,52300
11/9/2022,MU04,Magical Triumph,14800
11/9/2022,AF04,Magical Triumph,15200
11/9/2022,AD04,Magical Triumph,40000
11/10/2022,AD04,Magical Triumph,2100
11/10/2022,AF04,Magical Triumph,1400
11/10/2022,AF03,Magical Triumph,3900
11/10/2022,AD03,Magical Triumph,47500
11/11/2022,AD03,Magical Triumph,36000
11/11/2022,L10,Magical Triumph,10000
11/12/2022,L10,Magical Triumph,24400
11/12/2022,L11,Magical Triumph,21600
11/14/2022,L11,Magical Triumph,51500
11/14/2022,MU05,Magical Triumph,10000
11/14/2022,AD04,Magical Triumph,2800
11/15/2022,AD03,Magical Triumph,3000
11/15/2022,L11,Magical Triumph,56000
11/16/2022,L11,Magical Triumph,19000
11/16/2022,MU05,Magical Triumph,34400
11/17/2022,MU05,Magical Triumph,50300
11/18/2022,MU05,Magical Triumph,40000
11/19/2022,MU05,Magical Triumph,50000
11/21/2022,MU05,Magical Triumph,6300
11/21/2022,MU06,Magical Triumph,15700
11/21/2022,K15,Magical Triumph,32500
11/21/2022,L10,Magical Triumph,6100
11/22/2022,L11,Magical Triumph,7000
11/22/2022,MU06,Magical Triumph,9600
11/22/2022,K15,Magical Triumph,11500
11/23/2022,K15,Magical Triumph,7100
11/23/2022,K16,Magical Triumph,16500
11/23/2022,L11,Magical Triumph,10500
11/23/2022,MU06,Magical Triumph,12000
11/24/2022,L11,Magical Triumph,800
11/24/2022,K16,Magical Triumph,37000
11/24/2022,K17,Magical Triumph,3000
11/25/2022,K16,Magical Triumph,5500
11/25/2022,K17,Magical Triumph,35200
11/26/2022,K17,Magical Triumph,22000
11/26/2022,K18,Magical Triumph,30000
11/28/2022,k18,Magical Triumph,19500
11/28/2022,MU05,Magical Triumph,10000
