date,variety_code,stems
7/1/2022,AT11,2600
7/2/2022,AT11,2800
7/3/2022,AT11,2600
7/4/2022,AT11,2300
7/5/2022,AT11,3000
7/6/2022,AT11,3700
7/7/2022,AT11,2700
7/8/2022,AT11,3200
7/9/2022,AT11,3900
7/10/2022,AT11,2500
7/11/2022,AT11,2800
7/12/2022,AT11,2380
7/13/2022,AT11,2200
7/14/2022,AT11,0
7/15/2022,AT11,3400
7/16/2022,AT11,3800
7/17/2022,AT11,3400
7/18/2022,AT11,4200
7/19/2022,AT11,3600
7/20/2022,AT11,3200
7/21/2022,AT11,3300
7/22/2022,AT11,2300
7/23/2022,AT11,3700
7/24/2022,AT11,2400
7/25/2022,AT11,4700
7/26/2022,AT11,3700
7/27/2022,AT11,3100
7/28/2022,AT11,3500
7/29/2022,AT11,3800
7/30/2022,AT11,3000
7/31/2022,AT11,2700
8/1/2022,AT11,4400
8/2/2022,AT11,3000
8/3/2022,AT11,1900
8/4/2022,AT11,2400
8/5/2022,AT11,2550
8/6/2022,AT11,1900
8/7/2022,AT11,1800
8/8/2022,AT11,2800
8/9/2022,AT11,0
8/10/2022,AT11,4182
8/11/2022,AT11,3900
8/12/2022,AT11,2850
8/13/2022,AT11,2900
8/14/2022,AT11,1700
8/15/2022,AT11,1800
8/16/2022,AT11,3100
8/17/2022,AT11,2350
8/18/2022,AT11,1400
8/19/2022,AT11,2200
8/20/2022,AT11,2400
8/21/2022,AT11,1900
8/22/2022,AT11,2200
8/23/2022,AT11,2100
8/24/2022,AT11,900
8/25/2022,AT11,3500
8/26/2022,AT11,3100
8/27/2022,AT11,1800
8/28/2022,AT11,1600
8/29/2022,AT11,2800
8/30/2022,AT11,2400
8/31/2022,AT11,1300
9/1/2022,AT11,2400
9/2/2022,AT11,1800
9/3/2022,AT11,2000
9/4/2022,AT11,2000
9/5/2022,AT11,2092
9/6/2022,AT11,2200
9/7/2022,AT11,2650
9/8/2022,AT11,1900
9/9/2022,AT11,1900
9/10/2022,AT11,2500
9/11/2022,AT11,1800
9/12/2022,AT11,3100
9/13/2022,AT11,2200
9/14/2022,AT11,2650
9/15/2022,AT11,1300
9/16/2022,AT11,2150
9/17/2022,AT11,3200
9/18/2022,AT11,3120
9/19/2022,AT11,3700
9/20/2022,AT11,3170
9/21/2022,AT11,3300
9/22/2022,AT11,1870
9/23/2022,AT11,2500
9/24/2022,AT11,2160
9/25/2022,AT11,3930
9/26/2022,AT11,3030
9/27/2022,AT11,4530
9/28/2022,AT11,4230
9/29/2022,AT11,3780
9/30/2022,AT11,4620
10/1/2022,AT11,5220
10/2/2022,AT11,2520
10/3/2022,AT11,3390
10/4/2022,AT11,3560
10/5/2022,AT11,3330
10/6/2022,AT11,3690
10/7/2022,AT11,1730
10/8/2022,AT11,3390
10/9/2022,AT11,1740
10/10/2022,AT11,3780
10/11/2022,AT11,2250
10/12/2022,AT11,3890
10/13/2022,AT11,2210
10/14/2022,AT11,2520
10/15/2022,AT11,3690
10/16/2022,AT11,1880
10/17/2022,AT11,2520
10/18/2022,AT11,2700
10/19/2022,AT11,3420
10/20/2022,AT11,2520
10/21/2022,AT11,2880
10/22/2022,AT11,3200
10/23/2022,AT11,2550
10/24/2022,AT11,4600
10/25/2022,AT11,3300
10/26/2022,AT11,4100
10/27/2022,AT11,3180
10/28/2022,AT11,3800
10/29/2022,AT11,3800
10/30/2022,AT11,3100
10/31/2022,AT11,2550
11/1/2022,AT11,3500
11/2/2022,AT11,2900
11/3/2022,AT11,2000
11/4/2022,AT11,1500
11/5/2022,AT11,1900
11/6/2022,AT11,1400
11/7/2022,AT11,2460
11/8/2022,AT11,2300
11/9/2022,AT11,2000
11/10/2022,AT11,2100
11/11/2022,AT11,2200
11/12/2022,AT11,2340
11/13/2022,AT11,1620
11/14/2022,AT11,2880
11/15/2022,AT11,2340
11/16/2022,AT11,2790
11/17/2022,AT11,2520
11/18/2022,AT11,1440
11/19/2022,AT11,1450
11/20/2022,AT11,2340
11/21/2022,AT11,3060
11/22/2022,AT11,2160
11/23/2022,AT11,3470
11/24/2022,AT11,2340
11/25/2022,AT11,2070
11/26/2022,AT11,2400
11/27/2022,AT11,3090
11/28/2022,AT11,4140
11/29/2022,AT11,3510
11/30/2022,AT11,3000
12/1/2022,AT11,3780
12/2/2022,AT11,3870
12/3/2022,AT11,3000
12/4/2022,AT11,3420
12/5/2022,AT11,4050
12/6/2022,AT11,4200
12/7/2022,AT11,3240
12/8/2022,AT11,4290
12/9/2022,AT11,3550
12/10/2022,AT11,1900
12/11/2022,AT11,2800
12/12/2022,AT11,3200
12/13/2022,AT11,2900
12/14/2022,AT11,3200
12/15/2022,AT11,3330
12/16/2022,AT11,2970
12/17/2022,AT11,2000
12/18/2022,AT11,2970
12/19/2022,AT11,2970
12/20/2022,AT11,3840
12/21/2022,AT11,1800
12/22/2022,AT11,3300
12/23/2022,AT11,3600
12/24/2022,AT11,3550
12/25/2022,AT11,2660
